path,participant_id,sequence_id,sign
train_landmark_files/26734/1001145816.parquet,26734,1001145816,yellow
train_landmark_files/36257/1001911914.parquet,36257,1001911914,hungry
train_landmark_files/32319/1001958254.parquet,32319,1001958254,go
train_landmark_files/26734/100225301.parquet,26734,100225301,bad
train_landmark_files/26734/1002667538.parquet,26734,1002667538,sick
train_landmark_files/22343/1002776784.parquet,22343,1002776784,black
train_landmark_files/53618/1003370644.parquet,53618,1003370644,man
train_landmark_files/34503/1003483410.parquet,34503,1003483410,sleep
train_landmark_files/49445/1003700302.parquet,49445,1003700302,yellow
train_landmark_files/16069/10042041.parquet,16069,10042041,green
train_landmark_files/22343/1004302418.parquet,22343,1004302418,sad
train_landmark_files/26734/1004515043.parquet,26734,1004515043,go
train_landmark_files/27610/100498908.parquet,27610,100498908,drink
train_landmark_files/30680/1005102931.parquet,30680,1005102931,thankyou
train_landmark_files/26734/1005584284.parquet,26734,1005584284,sick
train_landmark_files/62590/1005973605.parquet,62590,1005973605,sad
train_landmark_files/25571/1005995721.parquet,25571,1005995721,hungry
train_landmark_files/18796/1006073467.parquet,18796,1006073467,sick
train_landmark_files/18796/1006488300.parquet,18796,1006488300,green
train_landmark_files/22343/1006778422.parquet,22343,1006778422,happy
train_landmark_files/4718/1007273104.parquet,4718,1007273104,white
train_landmark_files/62590/100728423.parquet,62590,100728423,bye
train_landmark_files/28656/1009091529.parquet,28656,1009091529,sleep
train_landmark_files/37055/1009934063.parquet,37055,1009934063,sleep
train_landmark_files/22343/1010997099.parquet,22343,1010997099,go
train_landmark_files/2044/1011023647.parquet,2044,1011023647,yellow
train_landmark_files/32319/1011764636.parquet,32319,1011764636,dad
train_landmark_files/37055/1011888729.parquet,37055,1011888729,happy
train_landmark_files/37779/1012413496.parquet,37779,1012413496,sad
train_landmark_files/26734/1012730846.parquet,26734,1012730846,please
train_landmark_files/28656/1012790943.parquet,28656,1012790943,child
train_landmark_files/32319/1012950600.parquet,32319,1012950600,sad
train_landmark_files/62590/1013176670.parquet,62590,1013176670,sick
train_landmark_files/29302/1013221310.parquet,29302,1013221310,child
train_landmark_files/53618/1013935760.parquet,53618,1013935760,child
train_landmark_files/61333/1014607730.parquet,61333,1014607730,girl
train_landmark_files/61333/1014819003.parquet,61333,1014819003,sleep
train_landmark_files/37055/1015378275.parquet,37055,1015378275,white
train_landmark_files/27610/1016834986.parquet,27610,1016834986,thankyou
train_landmark_files/28656/101711203.parquet,28656,101711203,drink
train_landmark_files/53618/1018058233.parquet,53618,1018058233,sleep
train_landmark_files/26734/1018275085.parquet,26734,1018275085,go
train_landmark_files/4718/101865528.parquet,4718,101865528,child
train_landmark_files/32319/1019224704.parquet,32319,1019224704,girl
train_landmark_files/32319/1019292479.parquet,32319,1019292479,green
train_landmark_files/34503/1019518672.parquet,34503,1019518672,mom
train_landmark_files/37055/1020065367.parquet,37055,1020065367,hungry
train_landmark_files/26734/102039350.parquet,26734,102039350,blue
train_landmark_files/61333/102114016.parquet,61333,102114016,red
train_landmark_files/53618/1021288255.parquet,53618,1021288255,please
train_landmark_files/22343/1022563534.parquet,22343,1022563534,girl
train_landmark_files/62590/1023256181.parquet,62590,1023256181,please
train_landmark_files/49445/1023585966.parquet,49445,1023585966,bye
train_landmark_files/37779/1023675829.parquet,37779,1023675829,sleep
train_landmark_files/61333/1023892194.parquet,61333,1023892194,boy
train_landmark_files/18796/1023910448.parquet,18796,1023910448,thirsty
train_landmark_files/26734/1024971670.parquet,26734,1024971670,bye
train_landmark_files/18796/1025116466.parquet,18796,1025116466,dad
train_landmark_files/61333/1025291620.parquet,61333,1025291620,man
train_landmark_files/18796/1026568164.parquet,18796,1026568164,man
train_landmark_files/62590/1027391960.parquet,62590,1027391960,red
train_landmark_files/28656/1027470238.parquet,28656,1027470238,sick
train_landmark_files/2044/1027900681.parquet,2044,1027900681,sad
train_landmark_files/28656/1028173090.parquet,28656,1028173090,thirsty
train_landmark_files/34503/1028641963.parquet,34503,1028641963,dad
train_landmark_files/16069/1029270291.parquet,16069,1029270291,please
train_landmark_files/30680/1029676177.parquet,30680,1029676177,green
train_landmark_files/32319/1030041990.parquet,32319,1030041990,sick
